Geography,Date,Initial Claims
"Hendricks County, IN",2020-01-04,64
"Hendricks County, IN",2020-01-11,49
"Hendricks County, IN",2020-01-18,65
"Hendricks County, IN",2020-01-25,54
"Hendricks County, IN",2020-02-01,38
"Hendricks County, IN",2020-02-08,41
"Hendricks County, IN",2020-02-15,29
"Hendricks County, IN",2020-02-22,21
"Hendricks County, IN",2020-02-29,25
"Hendricks County, IN",2020-03-07,35
"Hendricks County, IN",2020-03-14,25
"Hendricks County, IN",2020-03-21,962
"Hendricks County, IN",2020-03-28,"1,532"
"Hendricks County, IN",2020-04-04,"1,782"
